date;store;type;pallets
05/may;233;DRY GOODS;18
06/may;233;DRY GOODS;18
03/may;233;DRY GOODS;21
07/may;233;DRY GOODS;23
02/may;233;DRY GOODS;26
03/may;234;FRESH GOODS;10
02/may;234;FRESH GOODS;11
04/may;234;FRESH GOODS;12
07/may;234;FRESH GOODS;12
05/may;234;FRESH GOODS;13
06/may;234;FRESH GOODS;13
03/may;234;DRY GOODS;16
06/may;234;DRY GOODS;16
05/may;234;DRY GOODS;17
04/may;234;DRY GOODS;18
07/may;234;DRY GOODS;18
02/may;234;DRY GOODS;19
03/may;237;FRESH GOODS;11
04/may;237;FRESH GOODS;11
07/may;237;FRESH GOODS;13
02/may;237;FRESH GOODS;14
05/may;237;FRESH GOODS;14
04/may;237;DRY GOODS;17
07/may;237;DRY GOODS;17
06/may;237;FRESH GOODS;17
02/may;237;DRY GOODS;19
03/may;237;DRY GOODS;19
06/may;237;DRY GOODS;26
05/may;237;DRY GOODS;32
03/may;238;FRESH GOODS;11
02/may;238;FRESH GOODS;12
04/may;238;FRESH GOODS;13
07/may;238;FRESH GOODS;15
05/may;238;FRESH GOODS;16
06/may;238;FRESH GOODS;17
02/may;238;DRY GOODS;20
03/may;238;DRY GOODS;21
04/may;238;DRY GOODS;21
05/may;238;DRY GOODS;23
06/may;238;DRY GOODS;24
07/may;238;DRY GOODS;25
03/may;240;FRESH GOODS;11
07/may;240;DRY GOODS;12
02/may;240;FRESH GOODS;12
07/may;240;FRESH GOODS;15
04/may;240;FRESH GOODS;16
06/may;240;FRESH GOODS;16
05/may;240;FRESH GOODS;17
03/may;240;DRY GOODS;18
04/may;240;DRY GOODS;20
02/may;240;DRY GOODS;23
05/may;240;DRY GOODS;29
06/may;240;DRY GOODS;35
02/may;241;FRESH GOODS;15
03/may;241;FRESH GOODS;17
04/may;241;FRESH GOODS;18
05/may;241;FRESH GOODS;19
07/may;241;FRESH GOODS;19
06/may;241;FRESH GOODS;20
03/may;241;DRY GOODS;32
02/may;241;DRY GOODS;33
04/may;241;DRY GOODS;37
05/may;241;DRY GOODS;39
06/may;241;DRY GOODS;43
02/may;246;FRESH GOODS;15
03/may;246;FRESH GOODS;16
04/may;246;FRESH GOODS;17
05/may;246;FRESH GOODS;20
07/may;246;FRESH GOODS;20
06/may;246;FRESH GOODS;24
04/may;246;DRY GOODS;26
03/may;246;DRY GOODS;27
07/may;246;DRY GOODS;27
02/may;246;DRY GOODS;33
05/may;246;DRY GOODS;34
06/may;246;DRY GOODS;35
02/may;251;FRESH GOODS;16
03/may;251;FRESH GOODS;16
05/may;251;FRESH GOODS;17
04/may;251;FRESH GOODS;18
04/may;251;DRY GOODS;19
07/may;251;FRESH GOODS;19
07/may;251;DRY GOODS;20
03/may;251;DRY GOODS;22
06/may;251;DRY GOODS;22
02/may;251;DRY GOODS;23
05/may;251;DRY GOODS;23
06/may;251;FRESH GOODS;28
02/may;252;FRESH GOODS;13
04/may;252;FRESH GOODS;13
05/may;252;FRESH GOODS;16
03/may;252;FRESH GOODS;17
07/may;252;FRESH GOODS;17
03/may;252;DRY GOODS;19
06/may;252;DRY GOODS;19
06/may;252;FRESH GOODS;19
07/may;252;DRY GOODS;20
02/may;252;DRY GOODS;21
04/may;252;DRY GOODS;23
05/may;252;DRY GOODS;28
02/may;253;FRESH GOODS;11
03/may;253;FRESH GOODS;12
04/may;253;FRESH GOODS;14
05/may;253;FRESH GOODS;15
07/may;253;FRESH GOODS;17
03/may;253;DRY GOODS;19
07/may;253;DRY GOODS;20
05/may;253;DRY GOODS;21
04/may;253;DRY GOODS;22
06/may;253;DRY GOODS;25
06/may;253;FRESH GOODS;50
02/may;253;DRY GOODS;63
03/may;255;FRESH GOODS;13
04/may;255;FRESH GOODS;13
05/may;255;FRESH GOODS;15
02/may;255;FRESH GOODS;16
06/may;255;FRESH GOODS;17
04/may;255;DRY GOODS;21
03/may;255;DRY GOODS;22
07/may;255;DRY GOODS;22
05/may;255;DRY GOODS;23
06/may;255;DRY GOODS;23
07/may;255;FRESH GOODS;23
02/may;255;DRY GOODS;27
03/may;256;FRESH GOODS;15
02/may;256;FRESH GOODS;16
04/may;256;FRESH GOODS;19
07/may;256;FRESH GOODS;21
06/may;256;FRESH GOODS;24
05/may;256;FRESH GOODS;27
07/may;256;DRY GOODS;32
04/may;256;DRY GOODS;33
02/may;256;DRY GOODS;34
03/may;256;DRY GOODS;36
05/may;256;DRY GOODS;36
06/may;256;DRY GOODS;36
02/may;258;FRESH GOODS;15
03/may;258;FRESH GOODS;17
04/may;258;FRESH GOODS;19
07/may;258;FRESH GOODS;19
06/may;258;FRESH GOODS;20
04/may;258;DRY GOODS;21
02/may;258;DRY GOODS;25
06/may;258;DRY GOODS;26
05/may;258;FRESH GOODS;27
05/may;258;DRY GOODS;28
03/may;258;DRY GOODS;30
07/may;258;DRY GOODS;30
02/may;259;FRESH GOODS;13
03/may;259;FRESH GOODS;13
04/may;259;FRESH GOODS;15
05/may;259;FRESH GOODS;16
06/may;259;FRESH GOODS;17
07/may;259;FRESH GOODS;18
02/may;259;DRY GOODS;21
03/may;259;DRY GOODS;21
04/may;259;DRY GOODS;22
07/may;259;DRY GOODS;24
05/may;259;DRY GOODS;28
06/may;259;DRY GOODS;28
03/may;260;FRESH GOODS;9
02/may;260;FRESH GOODS;11
04/may;260;FRESH GOODS;11
07/may;260;FRESH GOODS;12
05/may;260;FRESH GOODS;13
06/may;260;FRESH GOODS;13
03/may;260;DRY GOODS;15
05/may;260;DRY GOODS;17
02/may;260;DRY GOODS;22
06/may;260;DRY GOODS;23
04/may;260;DRY GOODS;26
04/may;266;FRESH GOODS;11
02/may;266;FRESH GOODS;12
07/may;266;FRESH GOODS;12
03/may;266;FRESH GOODS;13
05/may;266;FRESH GOODS;13
06/may;266;FRESH GOODS;15
03/may;266;DRY GOODS;23
07/may;266;DRY GOODS;23
02/may;266;DRY GOODS;25
04/may;266;DRY GOODS;25
05/may;266;DRY GOODS;25
06/may;266;DRY GOODS;31
03/may;269;FRESH GOODS;12
02/may;269;FRESH GOODS;14
04/may;269;FRESH GOODS;15
07/may;269;FRESH GOODS;17
06/may;269;FRESH GOODS;19
05/may;269;FRESH GOODS;20
07/may;269;DRY GOODS;24
02/may;269;DRY GOODS;26
06/may;269;DRY GOODS;29
03/may;269;DRY GOODS;30
05/may;269;DRY GOODS;31
04/may;269;DRY GOODS;32
03/may;270;FRESH GOODS;10
04/may;270;FRESH GOODS;12
05/may;270;FRESH GOODS;12
07/may;270;FRESH GOODS;12
02/may;270;FRESH GOODS;14
02/may;270;DRY GOODS;18
03/may;270;DRY GOODS;19
06/may;270;DRY GOODS;19
04/may;270;DRY GOODS;21
07/may;270;DRY GOODS;21
05/may;270;DRY GOODS;26
06/may;270;FRESH GOODS;41
02/may;271;FRESH GOODS;15
04/may;271;FRESH GOODS;15
03/may;271;FRESH GOODS;16
05/may;271;FRESH GOODS;17
07/may;271;FRESH GOODS;18
06/may;271;FRESH GOODS;19
03/may;271;DRY GOODS;21
04/may;271;DRY GOODS;24
05/may;271;DRY GOODS;26
06/may;271;DRY GOODS;28
07/may;271;DRY GOODS;29
02/may;271;DRY GOODS;32
02/may;278;FRESH GOODS;12
03/may;278;FRESH GOODS;12
04/may;278;FRESH GOODS;12
05/may;278;FRESH GOODS;14
07/may;278;FRESH GOODS;15
06/may;278;FRESH GOODS;16
04/may;278;DRY GOODS;20
06/may;278;DRY GOODS;21
02/may;278;DRY GOODS;22
07/may;278;DRY GOODS;22
03/may;278;DRY GOODS;23
05/may;278;DRY GOODS;26
03/may;279;FRESH GOODS;12
04/may;279;FRESH GOODS;12
02/may;279;FRESH GOODS;14
05/may;279;FRESH GOODS;16
06/may;279;FRESH GOODS;16
07/may;279;FRESH GOODS;16
02/may;279;DRY GOODS;17
04/may;279;DRY GOODS;23
03/may;279;DRY GOODS;24
05/may;279;DRY GOODS;24
06/may;279;DRY GOODS;31
02/may;283;FRESH GOODS;12
03/may;283;FRESH GOODS;12
04/may;283;FRESH GOODS;13
05/may;283;FRESH GOODS;14
07/may;283;FRESH GOODS;14
06/may;283;FRESH GOODS;16
03/may;283;DRY GOODS;19
04/may;283;DRY GOODS;21
02/may;283;DRY GOODS;22
07/may;283;DRY GOODS;23
05/may;283;DRY GOODS;24
06/may;283;DRY GOODS;27
03/may;284;FRESH GOODS;9
04/may;284;FRESH GOODS;11
05/may;284;FRESH GOODS;11
06/may;284;FRESH GOODS;11
07/may;284;FRESH GOODS;11
04/may;284;DRY GOODS;13
02/may;284;DRY GOODS;15
07/may;284;DRY GOODS;15
02/may;284;FRESH GOODS;17
06/may;284;DRY GOODS;20
05/may;284;DRY GOODS;23
03/may;284;DRY GOODS;46
02/may;289;FRESH GOODS;12
03/may;289;FRESH GOODS;12
04/may;289;FRESH GOODS;13
05/may;289;FRESH GOODS;14
07/may;289;FRESH GOODS;16
06/may;289;FRESH GOODS;20
03/may;289;DRY GOODS;22
